Compound,File,Concentration,Standard,Standard Conc
benzene,rcn1005_001.CDF,17,,
benzene,rcn1005_002.CDF,79,,
benzene,rcn1005_003.CDF,224,,
benzene,rcn1005_004.CDF,561,,
benzene,rcn1005_005.CDF,1120,,
cyclohexane,rcn1005_006.CDF,924,,
cyclohexane,rcn1005_007.CDF,13.9,,
cyclohexane,rcn1005_008.CDF,64.7,,
cyclohexane,rcn1005_009.CDF,184,,
cyclohexane,rcn1005_010.CDF,462,,
cyclohexanol,rcn1005_001.CDF,14,,
cyclohexanol,rcn1005_002.CDF,67,,
cyclohexanol,rcn1005_003.CDF,192,,
cyclohexanol,rcn1005_004.CDF,480,,
cyclohexanol,rcn1005_005.CDF,961,,
cyclohexanone,rcn1005_001.CDF,14,,
cyclohexanone,rcn1005_002.CDF,68,,
cyclohexanone,rcn1005_003.CDF,193,,
cyclohexanone,rcn1005_004.CDF,483,,
cyclohexanone,rcn1005_005.CDF,966,,
cyclohexene,rcn1005_006.CDF,987,,
cyclohexene,rcn1005_007.CDF,14.8,,
cyclohexene,rcn1005_008.CDF,69.1,,
cyclohexene,rcn1005_009.CDF,197,,
cyclohexene,rcn1005_010.CDF,494,,
phenol,rcn1005_006.CDF,1488,,
phenol,rcn1005_007.CDF,22.3,,
phenol,rcn1005_008.CDF,104,,
phenol,rcn1005_009.CDF,298,,
phenol,rcn1005_010.CDF,744,,
