NAME:phenol
ID_NUM:JP001317
NUM PEAKS:
  27 2.62 26
  37 3.26 33
  38 7.16 72
  39 24.93 249
  40 14.22 142
  47 2.08 21
  50 5.25 53
  51 5.03 50
  53 2.73 27
  55 8.37 84
  61 1.86 19
  62 2.9 29
  63 5.96 60
  64 2.08 21
  65 26.24 262
  66 37.67 377
  67 2.08 21
  68 1 10
  74 1.69 17
  93 1.64 16
  94 99.99 999
  95 6.07 61
FROM:www.massbank.jp

NAME:octane
FROM:www.massbank.jp
ID_NUM: JP004695
NUM PEAKS:
  42 14.07 141
  43 99.99 999
  44 2.54 25
  45 4.03 40
  53 1.58 16
  55 19.83 198
  56 25.78 258
  57 56.51 565
  58 6.03 60
  59 4.44 44
  69 5.22 52
  70 20.51 205
  71 34.27 343
  72 2.17 22
  74 2.85 29
  83 1.86 19
  84 15.56 156
  85 60 600
  86 3.81 38
  97 14.34 143
  98 1.58 16
  99 1.22 12
  112 3.76 38
  114 12.48 125

NAME:benzene
NUM PEAKS:
  36 1.82 18
  37 6.5 65
  38 7.38 74
  39 15.17 152
  49 6.91 69
  50 19.13 191
  51 25.18 252
  52 20.47 205
  61 2.61 26
  62 9.85 99
  63 6.45 65
  64 3.76 38
  73 2.58 26
  74 7.34 73
  75 2.37 24
  76 5.9 59
  77 22.89 229
  78 99.99 999
  79 7.4 74

NAME:cyclohexane
NUM PEAKS:
  27 11.09 111
  28 12.66 127
  29 6.65 67
  39 15.52 155
  40 3.6 36
  41 54.16 542
  42 24.12 241
  43 10.54 105
  44 1.85 19
  53 2.59 26
  54 4.16 42
  55 32.07 321
  56 99.99 999
  57 3.42 34
  67 1.85 19
  69 25.79 258
  83 2.96 30
  84 62.66 627
  85 3.05 31

NAME:cyclohexanol
NUM PEAKS:
  15 1.29 13
  18 7.09 71
  26 1.07 11
  27 8.59 86
  28 2.68 27
  29 8.63 86
  31 4.96 50
  38 1.19 12
  39 10.16 102
  40 2.08 21
  41 20.35 204
  42 6.43 64
  43 8.97 90
  44 25.01 250
  45 3.7 37
  50 1.4 14
  51 1.88 19
  53 3.89 39
  54 8.26 83
  55 7.03 70
  56 10.2 102
  57 99.99 999
  58 7.79 78
  59 1.33 13
  67 21.14 211
  68 1.65 17
  71 11.05 111
  72 6.18 62
  79 1.49 15
  81 4.12 41
  82 51.66 517
  83 3.35 34
  85 1.12 11
  99 1.31 13
  100 3.16 32

NAME:cyclohexanone
NUM PEAKS:
  27 3.2 32
  28 4.4 44
  29 3.9 39
  39 0.25 3
  40 3 30
  41 21.9 219
  42 62.2 622
  43 1.4 14
  54 8.6 86
  55 99.99 999
  56 11.5 115
  57 0.21 2
  69 36.5 365
  70 26.4 264
  71 2.1 21
  80 0.78 8
  83 12.2 122
  97 3.3 33
  98 56.8 568
  99 3.8 38

NAME:cyclohexene
NUM PEAKS:
  15 1.2 12
  26 3.29 33
  27 18.01 180
  28 3.69 37
  29 2.79 28
  37 1.28 13
  38 3.16 32
  39 33.65 337
  40 4.6 46
  41 35.69 357
  42 2.79 28
  50 5.23 52
  51 8.04 80
  52 3.88 39
  53 11.71 117
  54 72.01 720
  55 5.15 52
  63 1.38 14
  65 3.88 39
  66 2.58 26
  67 99.99 999
  68 5.88 59
  77 4.97 50
  78 1.43 14
  79 6.77 68
  80 1.04 10
  81 10.72 107
  82 38.65 387
  83 2.59 26

#NAME:hexane
#FROM:www.massbank.jp
#ID_NUM:JP009344
#NUM PEAKS:
#  26 2 20
#  27 26.2 262
#  28 6.2 62
#  29 4.04 40
#  30 1.4 14
#  37 1.3 13
#  39 14.9 149
#  40 0.25 3
#  41 62.4 624
#  42 36.6 366
#  43 70.6 706
#  44 0.24 2
#  51 1.2 12
#  53 2 20
#  55 6.9 69
#  56 4.9 49
#  57 99.99 999
#  58 4.5 45
#  69 1 10
#  70 0.1 1
#  72 6.3 63
#  86 25.7 257
#  87 1.9 19

#NAME:methylcyclopentane
#FROM:www.massbank.jp
#ID_NUM:JP005995
#NUM PEAKS:
#  15 1 10
#  17 1.9 19
#  18 8.7 87
#  26 0.14 1
#  27 12.5 125
#  28 5.7 57
#  29 7.5 75
#  32 0.07 1
#  37 0.6 6
#  38 1.4 14
#  39 15.6 156
#  40 0.37 4
#  41 51.4 514
#  42 24 240
#  43 10.5 105
#  50 0.11 1
#  51 1.8 18
#  52 0.7 7
#  53 3.4 34
#  54 0.3 3
#  55 24.1 241
#  56 99.99 999
#  57 4.8 48
#  65 0.08 1
#  66 0.6 6
#  67 2.6 26
#  68 4.1 41
#  69 3.72 37
#  70 2.2 22
#  83 1 10
#  84 25.5 255
#  85 1.8 18

